epoch,accuracy,loss,val_accuracy,val_loss
0,0.8327666521072388,0.5051931738853455,0.9083999991416931,0.27580350637435913
1,0.9330999851226807,0.21636268496513367,0.9498999714851379,0.1575227677822113
2,0.9450833201408386,0.1772145926952362,0.9567000269889832,0.13747449219226837
3,0.9506000280380249,0.15945449471473694,0.9621000289916992,0.1298087239265442
4,0.9557833075523376,0.14345093071460724,0.9510999917984009,0.1523156464099884
5,0.9579833149909973,0.13398616015911102,0.9599000215530396,0.1272425502538681
6,0.9598666429519653,0.12908722460269928,0.9521999955177307,0.14917245507240295
7,0.9627166390419006,0.12181905657052994,0.9524999856948853,0.14875999093055725
8,0.9646666646003723,0.11393844336271286,0.9696000218391418,0.09784667938947678
9,0.9639166593551636,0.11712419986724854,0.9621000289916992,0.12415704131126404
10,0.9678333401679993,0.10457728058099747,0.9703999757766724,0.10185425728559494
11,0.9672333598136902,0.1055847555398941,0.9735000133514404,0.0876733735203743
12,0.9684333205223083,0.10126970708370209,0.9764000177383423,0.07958667725324631
13,0.9683499932289124,0.09987857937812805,0.9649999737739563,0.11616001278162003
14,0.9673666954040527,0.1014624685049057,0.9733999967575073,0.08886472135782242
15,0.9707666635513306,0.09545352309942245,0.9606000185012817,0.13576534390449524
16,0.9711166620254517,0.09168048202991486,0.9753000140190125,0.0792771726846695
17,0.9735333323478699,0.08571615070104599,0.9157000184059143,0.2607291042804718
18,0.9733499884605408,0.08443643152713776,0.9731000065803528,0.08292166888713837
19,0.9740666747093201,0.08243180811405182,0.9724000096321106,0.08954870700836182
20,0.9695666432380676,0.09617538005113602,0.972100019454956,0.08847454190254211
21,0.977566659450531,0.07083624601364136,0.9743000268936157,0.07922258973121643
22,0.9779999852180481,0.07089616358280182,0.9754999876022339,0.06982829421758652
23,0.9767000079154968,0.07237173616886139,0.9779999852180481,0.07161884754896164
24,0.9767666459083557,0.07378090173006058,0.9761000275611877,0.0810629352927208
25,0.9781833291053772,0.06891554594039917,0.9699000120162964,0.10060716420412064
26,0.9791333079338074,0.06583563983440399,0.9785000085830688,0.06887642294168472
27,0.9775166511535645,0.06925343722105026,0.9613999724388123,0.12492014467716217
28,0.9749500155448914,0.07899945229291916,0.9776999950408936,0.07573074102401733
29,0.9819333553314209,0.05791371688246727,0.9799000024795532,0.06304752826690674
